,min_timestamp,max_timestamp,med_timestamp,mean_timestamp,min_gas,max_gas,med_gas,mean_gas,out_count,min_outgoing_priceETH,max_outgoing_priceETH,med_outgoing_priceETH,mean_outgoing_priceETH,in_count,min_incoming_priceETH,max_incoming_priceETH,med_incoming_priceETH,mean_incoming_priceETH,address,label
11910,1.649016634e+18,1.649016634e+18,1.649016634e+18,1.649016634e+18,34752.0,34752.0,34752.0,34752.0,1.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,2.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,0x29d3c95d4d8a42ad598112a1c6f909e010ad37dc,None
53146,1.649293628e+18,1.649293628e+18,1.649293628e+18,1.649293628e+18,104162.0,104162.0,104162.0,104162.0,1.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,2.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,0xb8f5e8c6503a1b9a863799884f314c64770cf694,None
110850,,,,,,,,,,,,,,2.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,0xe88391ad06c81e1aabd5f0ee4c9a19bbbc3d741e,None
42374,1.649454529e+18,1.649454529e+18,1.649454529e+18,1.649454529e+18,194538.0,194538.0,194538.0,194538.0,1.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,,,,,,0x93a0f26211f0e3f1a4f33885968c02e4ee739bd2,None
66571,1.648917862e+18,1.648917862e+18,1.648917862e+18,1.648917862e+18,219024.0,219024.0,219024.0,219024.0,1.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,,,,,,0xe76b07d1c50057475c8c260e72032be6ac041828,None
94063,,,,,,,,,,,,,,1.0,2.00000009162741e-18,2.00000009162741e-18,2.00000009162741e-18,2.00000009162741e-18,0x7ef0efc4bb7a8832eb2c2256a7f2247e42bc03b7,None
46922,1.649526356e+18,1.649526356e+18,1.649526356e+18,1.649526356e+18,126422.0,126422.0,126422.0,126422.0,1.0,2.00000009162741e-18,2.00000009162741e-18,2.00000009162741e-18,2.00000009162741e-18,1.0,2.00000009162741e-18,2.00000009162741e-18,2.00000009162741e-18,2.00000009162741e-18,0xa366c04cab534efddf60b0623401bcee3b8b14d9,None
85059,,,,,,,,,,,,,,1.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,0x45ed811b174c1bdf17d30312509c74e76fab4231,None
81166,,,,,,,,,,,,,,1.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,0x2e5d9552eb7e449465528e02774fbc1785677f88,None
95274,,,,,,,,,,,,,,2.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,0x867e415fc79e99154a15a9c4cb790c3ea824d720,None
84874,,,,,,,,,,,,,,1.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,0x44dcb73b2f254b3c67eb75df9cc752c8e7c1c241,None
109029,,,,,,,,,,,,,,1.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,0xdd11909d57081842b2b9f6d7c760859b6eebbaca,None
64073,1.648540972e+18,1.648863372e+18,1.648702172e+18,1.648702172e+18,201859.0,242109.0,221984.0,221984.0,2.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,,,,,,0xde9b9d41fa2d017c33965bf4887c08a89507a523,None
108615,,,,,,,,,,,,,,1.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,0xda9d78ddead6541f01fc4ffd60d23c70088776b5,None
22550,1.649244696e+18,1.649244696e+18,1.649244696e+18,1.649244696e+18,45359.0,45359.0,45359.0,45359.0,1.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,0x4ecfb12305580bd3653a4cbcb5d6a95d5077286c,None
57636,1.649004908e+18,1.649005029e+18,1.6490049685e+18,1.6490049685e+18,184664.0,201699.0,193181.5,193181.5,2.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,,,,,,0xc86c128d5de08dc623c361cf8bb28825464ee755,None
221,1.648641553e+18,1.649285796e+18,1.649020244e+18,1.6490221316666668e+18,179946.0,1777464.0,184770.0,583954.4375,12.0,9.99999983775159e-18,9.99999983775159e-18,9.99999983775159e-18,9.999999010570978e-18,,,,,,0x00b0326a39b2409371cad6245977ea8803e2405e,None
73833,,,,,,,,,,,,,,1.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,0x00fcaa31a00ca13e2b2f7b28086e8ebbe5eda5c9,None
